Standing,Deck,Wins,Losses,Draws,Draft Record
0,Jacob Nagro,Bant Nadu,8,0,0,3-0-0
1,Eli Kassis,Bant Nadu,7,1,0,2-1-0
2,Jean-Emmanuel Depraz,Bant Nadu,7,1,0,3-0-0
3,Brian Boss,Gruul Prowess,7,1,0,3-0-0
4,Javier Dominguez,Jeskai Control,7,1,0,3-0-0
5,Jason Ye,Bant Nadu,7,1,0,2-1-0
6,Noah Ma,Mono-Black Necro,7,1,0,2-1-0
7,"David Gonzalez Romero ""Playmobil""",Eldrazi Tron,6,1,1,3-0-0
8,Brent Vos,Mono-Black Necro,6,1,1,3-0-0
9,Marcus Wosner,Boros Energy,6,1,1,2-0-1
10,Jonny Guttman,Bant Nadu,6,2,0,3-0-0
11,Marc Peral,Bant Nadu,6,2,0,3-0-0
12,Ken Yukuhiro,Mardu Energy,6,2,0,3-0-0
13,Eliott_dragon,Bant Nadu,6,2,0,3-0-0
14,Daniel Goetschel,Four-Color Nadu,6,2,0,3-0-0
15,Lauri Törnström,Jeskai Wizards,6,2,0,2-1-0
16,Arne Huschenbeth,Bant Nadu,6,2,0,3-0-0
17,Simon Nielsen,Bant Nadu,6,2,0,3-0-0
18,Jonathan Lobo Melamed,Bant Nadu,6,2,0,2-1-0
19,Tomasz Sodomirski,Living End,6,2,0,2-1-0
20,Etienne Eggenschwiler,Bant Nadu,6,2,0,3-0-0
21,Seth Manfield,Mono-Black Necro,6,2,0,3-0-0
22,Bart Van Etten,Mono-Black Grief,6,2,0,2-1-0
23,Charalampos Kikidis,Bant Nadu,6,2,0,2-1-0
24,André Santos,Four-Color Nadu,6,2,0,2-1-0
25,nathanb1992,Eldrazi Tron,6,2,0,2-1-0
26,Marco Del Pivo,Bant Nadu,6,2,0,2-1-0
27,Derrick Davis,Eldrazi Tron,6,2,0,2-1-0
28,Julien Henry,Bant Nadu,6,2,0,2-1-0
29,Benny Zeoli,Gruul Eldrazi,6,2,0,1-2-0
30,Manuel Alejandro Morales Fernández,Izzet Murktide,6,2,0,
31,shuhei nakamura,Jeskai Control,5,1,2,2-1-0
32,Francisco Sanchez,Mono-Black Necro,5,2,1,2-0-1
33,William Bossaneli Araujo,Mono-Black Grief,5,2,1,2-1-0
34,Joey Brautigam,Bant Nadu,5,2,1,2-0-1
35,Nicole Tipple,Bant Nadu,5,2,1,2-1-0
36,Matt Sperling,Esper Goryo's,5,2,1,0-2-1
37,Samuele Estratti,Eldrazi Tron,5,2,1,1-1-1
38,Lorenzo Pucci,Mono-Black Grief,5,3,0,3-0-0
39,Ivan Errico,Boros Energy,5,3,0,3-0-0
40,Adam Boyd,Mono-Black Necro,5,3,0,2-1-0
41,Samuel Pardee,Bant Nadu,5,3,0,2-1-0
42,Kelvin Chew,Esper Goryo's,5,3,0,2-1-0
43,Marco Vassallo,Jeskai Control,5,3,0,3-0-0
44,Stefan Schütz,Bant Nadu,5,3,0,2-1-0
45,Yiren Jiang,Jeskai Dress Down,5,3,0,1-2-0
46,Greg Orange,Jeskai Control,5,3,0,2-1-0
47,Tom White,Jeskai Control,5,3,0,3-0-0
48,Steven Minelli,Eldrazi Tron,5,3,0,2-1-0
49,MASAHIDE MORIYAMA,Bant Nadu,5,3,0,3-0-0
50,Charles Eiler,Four-Color Nadu,5,3,0,3-0-0
51,Collin Rountree,Bant Nadu,5,3,0,2-1-0
52,Martin Dominguez,Jeskai Control,5,3,0,2-1-0
53,Laurens Van der Beek,Golgari Yawgmoth,5,3,0,2-1-0
54,Carlos Oliveros,Bant Nadu,5,3,0,2-1-0
55,Rodrigo Pinheiro,Izzet Murktide,5,3,0,2-1-0
56,Tobias Ehrismann,Ruby Storm,5,3,0,2-1-0
57,Alan Andrzejewski,Four-Color Nadu,5,3,0,2-1-0
58,Olle Råde,Boros Energy,5,3,0,2-1-0
59,Matt Costa,Bant Nadu,5,3,0,2-1-0
60,Lorenzo Terlizzi,Bant Nadu,5,3,0,2-1-0
61,Mauro Sasso,Jeskai Control,5,3,0,2-1-0
62,Rei Hirayama,Jeskai Control,5,3,0,2-1-0
63,Mingyang Chen,Jeskai Dress Down,5,3,0,2-1-0
64,Martin Quiroga,Sultai Vengevine,5,3,0,2-1-0
65,Luis Scott-Vargas,Ruby Storm,5,3,0,3-0-0
66,Connor Mullaly,Four-Color Nadu,5,3,0,2-1-0
67,Keisuke Naitou,Living End,5,3,0,1-2-0
68,yohei hoshino,Jeskai Wizards,5,3,0,2-1-0
69,Christoffer Larsen,Bant Nadu,5,3,0,2-1-0
70,Mitchell Tamblyn,Jeskai Control,5,3,0,2-1-0
71,Alessandro Danesi,Domain Zoo,5,3,0,1-2-0
72,Reid Duke,Mono-Black Necro,5,3,0,2-1-0
73,Edgar Simmons,Boros Energy,5,3,0,2-1-0
74,Riccardo Biava,Bant Control,5,3,0,1-2-0
75,Josep Sanfeliu,Mono-Black Necro,5,3,0,2-1-0
76,Nathanael Perigo,Bant Nadu,5,3,0,2-1-0
77,Matthieu Tassa,Four-Color Nadu,5,3,0,2-1-0
78,cftsoc,Four-Color Reclamation,5,3,0,2-1-0
79,Mark Stanton,Four-Color Nadu,5,3,0,0-3-0
80,London Glenn,Boros Energy,5,3,0,0-3-0
81,Nathan Basser,Esper Goryo's,4,3,1,2-0-1
82,Slax,Jeskai Control,4,3,1,2-1-0
83,Lucas Fernandes,Ruby Storm,4,3,1,1-1-1
84,Isaac Sears,Four-Color Nadu,4,3,1,2-0-1
85,Socrates Rozakeas,Mono-Black Grief,4,3,1,0-2-1
86,Cyril Frey,Bant Nadu,4,3,1,2-1-0
87,kota ehara,Jeskai Wizards,4,3,1,2-1-0
88,Sean Goddard,Bant Nadu,4,3,1,2-0-1
89,Liam Hoban,Boros Energy,4,3,1,1-1-1
90,Rowan Millers,Four-Color Nadu,4,3,1,1-1-1
91,Benton Madsen,Boros Energy,4,3,1,1-1-1
92,Jin Kim,Bant Nadu,4,4,0,2-1-0
93,Sam Rolph,Ruby Storm,4,4,0,3-0-0
94,Alex Friedrichsen,Bant Nadu,4,4,0,3-0-0
95,Julius Fan,Jeskai Dress Down,4,4,0,3-0-0
96,Matt Sikkink Johnson,Temur Eldrazi,4,4,0,3-0-0
97,Takumi Matsuura,Mardu Energy,4,4,0,2-1-0
98,Ben Kleinsman-Leusink-Hill,Mono-Black Necro,4,4,0,2-1-0
99,Jia Bin,Jeskai Control,4,4,0,2-1-0
100,Francesco Latorre,Ruby Storm,4,4,0,2-1-0
101,Shota Yasooka,Jeskai Wizards,4,4,0,2-1-0
102,Asha Mills Emmett,Eldrazi Tron,4,4,0,2-1-0
103,Lee Shi Tian,Bant Nadu,4,4,0,2-1-0
104,Edgar Magalhaes,Esper Goryo's,4,4,0,1-2-0
105,Alexander Hayne,Ruby Storm,4,4,0,2-1-0
106,Karl Sarap,Bant Nadu,4,4,0,2-1-0
107,Adam Edelson,Bant Nadu,4,4,0,1-2-0
108,Quinn Tonole,Boros Burn,4,4,0,2-1-0
109,nicolas biekert,Golgari Yawgmoth,4,4,0,1-2-0
110,Anthony Lee,Jeskai Control,4,4,0,1-2-0
111,Marco Fabrizi,Bant Nadu,4,4,0,1-2-0
112,Willy Edel,Mono-Black Necro,4,4,0,1-2-0
113,Dan MacDonald,Eldrazi Tron,4,4,0,1-2-0
114,Kevin Thanakit,Gruul Eldrazi,4,4,0,1-2-0
115,claudio miranda,Golgari Yawgmoth,4,4,0,1-2-0
116,Jose Gabriel Hilario,Four-Color Nadu,4,4,0,1-2-0
117,JodyK,Eldrazi Tron,4,4,0,2-1-0
118,Theodore Jung,Bant Nadu,4,4,0,1-2-0
119,Pedro Perrini,Mono-Black Necro,4,4,0,1-2-0
120,Robert Wagner Krankel,Four-Color Nadu,4,4,0,2-1-0
121,Joseph Cruz,Mono-Black Grief,4,4,0,2-1-0
122,Yuxuan Zhang,Boros Energy,4,4,0,1-2-0
123,Christian Valenti,Jeskai Dress Down,4,4,0,2-1-0
124,Borja Yañez Carvajal,Bant Nadu,4,4,0,0-3-0
125,Patrick Wu,Jeskai Chant,4,4,0,1-2-0
126,Will Krueger,Bant Nadu,4,4,0,1-2-0
127,Andreas Petersen,Gruul Prowess,4,4,0,1-2-0
128,Jim Davis,Gruul Eldrazi,4,4,0,1-2-0
129,Marcio Carvalho,Mono-Black Necro,4,4,0,1-2-0
130,Adrián Iñigo Tastet,Jeskai Control,4,4,0,2-1-0
131,Toru Inoue,Jeskai Control,3,2,3,1-1-1
132,Christian Calcano,Eldrazi Tron,4,4,0,1-2-0
133,John Puglisi Clark,Jeskai Control,4,4,0,1-2-0
134,Liam Kane,Mono-Black Necro,4,4,0,1-2-0
135,ANTONIO GUZMAN VAZQUEZ,Merfolk,4,4,0,1-2-0
136,Tyler Aaron Barnett,Izzet Murktide,4,4,0,2-1-0
137,Bernardo Torres,Eldrazi Tron,4,4,0,1-2-0
138,Jeffrey Carr,Gruul Prowess,4,4,0,1-2-0
139,Gregory Michel,Temur Eldrazi,4,4,0,2-1-0
140,Erick Manuel Lopez Basulto,Jeskai Control,3,2,3,1-1-1
141,Stefano Vinci,Izzet Wizards,4,4,0,1-2-0
142,Yuta Takahashi,Dimir Murktide,4,4,0,0-3-0
143,Bora Sarıoğlu,Boros Energy,4,4,0,0-3-0
144,Brian Zilles,Boros Prowess,4,4,0,1-2-0
145,KamielC,Boros Burn,4,4,0,1-2-0
146,Thierry Ramboa,Bant Nadu,4,4,0,0-3-0
147,Noah Rabin,Bant Nadu,4,4,0,0-3-0
148,Mattia Rizzi,Bant Nadu,3,3,2,2-1-0
149,Franck Pappas,Izzet Murktide,3,3,2,0-1-2
150,José Luis López,Bant Nadu,3,3,2,
151,Kazune Kosaka,Mardu Energy,3,3,2,1-1-1
152,Jan V Ban,Ruby Storm,3,4,1,2-0-1
153,Yoshihiko Ikawa,Jeskai Control,3,4,1,2-1-0
154,Matti Kuisma,Bant Nadu,3,4,1,1-1-1
155,RIley Jones,Ruby Storm,3,4,1,0-2-1
156,David Olsen,Ruby Storm,3,4,1,1-2-0
157,Jesse Colford,Abzan Soultrader,3,4,1,1-1-1
158,Rick hup beng Lee,Mono-Black Necro,3,4,1,0-2-1
159,Christopher Henderson,Devoted Nadu,3,5,0,2-1-0
160,Slater Claudel,Living End,3,5,0,2-1-0
161,ChadKelley,Jeskai Wizards,3,5,0,2-1-0
162,KOUSUKE CHINEN,Boros Energy,3,5,0,2-1-0
163,Pedro Gonzalez,Gruul Scapeshift,3,5,0,2-1-0
164,Allen Wu,Ruby Storm,3,5,0,1-2-0
165,Miguel Simões,Eldrazi Tron,3,5,0,3-0-0
166,James Larsen-Scott,Jeskai Wizards,3,5,0,1-2-0
167,Brennan Crawford,Four-Color Nadu,3,5,0,1-2-0
168,Aarni Rantamäki,Jeskai Wizards,3,5,0,2-1-0
169,Venom1,Izzet Wizards,3,5,0,1-2-0
170,Davide Schilirò,Bant Nadu,3,5,0,2-1-0
171,Charles Namchaisiri,Jeskai Wizards,3,5,0,1-2-0
172,Liu Guanlin,Jeskai Dress Down,3,5,0,1-2-0
173,Dominic Harvey,Bant Nadu,3,5,0,1-2-0
174,GlosuU,Eldrazi Tron,3,5,0,2-1-0
175,Raphael Levy,Mono-Black Necro,3,5,0,1-2-0
176,Ben Tudman,Gruul Eldrazi,3,5,0,1-2-0
177,Dillon Kikkawa,Ruby Storm,3,5,0,1-2-0
178,Ben Bates,Jeskai Control,3,5,0,2-1-0
179,Chris Danis,Jeskai Control,3,5,0,1-2-0
180,Francesco Giresi,Jeskai Wizards,2,3,3,2-1-0
181,Thieoes,Izzet Murktide,3,5,0,1-2-0
182,Gabriel Nassif,Mono-Black Necro,3,5,0,2-1-0
183,Nick Nemeth,Ruby Storm,3,5,0,1-2-0
184,TwoThirds,Azorius Hammer,3,5,0,1-2-0
185,Joel Griebel,Merfolk,3,5,0,1-2-0
186,ElkVinci,Rakdos Grief,3,5,0,0-3-0
187,gennaro ciampa mango,Mardu Midrange,3,5,0,0-3-0
188,Renan Corrêa,Dimir Mill,3,5,0,
189,Jason Chan,Bant Nadu,3,5,0,2-1-0
190,victor perez,Boros Burn,3,5,0,0-3-0
191,Deane Calcagni,Dimir Grief,3,5,0,1-2-0
192,Dagoberto Silva,Ruby Storm,3,5,0,1-2-0
193,PrimeTime32,Amulet Titan,3,5,0,0-3-0
194,Matt Foreman,Four-color Control,2,4,2,1-2-0
195,Miguel Castro,Eldrazi Tron,2,4,2,1-1-1
196,Giuliano Benincasa,Bant Nadu,2,4,2,0-2-1
197,Backoff,Boros Energy,2,4,2,1-1-1
198,Torri,Grixis Shadow,2,5,1,0-2-1
199,Pier Franchini,Mono-Black Grief,2,4,1,1-2-0
